fast_ma,slow_ma,sl_mult,tp_mult,atr_thresh,pnl,sharpe,max_drawdown,win_rate
30,100,1.0,1.5,2.0,-16363.249999999654,-2.057519825918032,-22565.149999999645,36.049723756906076
30,100,1.0,2.0,1.0,-3594.699999999846,-1.832290085062035,-21155.96999999986,32.84068136272545
30,100,1.0,2.0,2.0,-14591.379999999825,-2.1065279861156867,-21014.359999999822,32.67161410018553
30,100,1.5,1.0,1.0,16590.769999999997,0.04590419245703749,-13845.909999999967,48.308468165581004
30,100,1.5,1.0,2.0,4983.169999999952,-0.20408291123048503,-17690.04,48.15604998476075
30,100,1.5,1.5,1.0,16507.239999999976,-0.16744266534006408,-18303.529999999948,46.26609442060086
30,100,1.5,1.5,2.0,-1910.9800000001196,-0.7631877432688818,-24487.27999999991,46.40083945435467
30,100,1.5,2.0,1.0,32894.949999999975,1.5852935137997377,-21582.339999999804,43.08398023994354
30,100,1.5,2.0,2.0,6801.569999999937,0.3821059302624399,-26089.259999999835,42.853430353430355
30,200,1.0,1.0,1.0,56000.230000000774,1.2222085699972396,-25910.229999999927,38.704028021015766
30,200,1.0,1.0,2.0,-2422.609999999262,0.09578431900898447,-37566.44999999984,38.332752005580744
30,200,1.0,1.5,1.0,136964.68000000078,2.971896525293017,-38561.24999999997,36.938083121289225
30,200,1.0,1.5,2.0,8386.810000000425,0.1709738629897269,-31861.72999999972,36.50054339388294
30,200,1.0,2.0,1.0,86563.11000000013,2.315007090050562,-31099.99999999997,33.41002044989775
30,200,1.0,2.0,2.0,-2409.979999999779,-0.21614788444625613,-30016.639999999716,33.06893295561851
30,200,1.5,1.0,1.0,100591.5900000001,3.98926276269175,-23342.50999999998,49.829714772243506
30,200,1.5,1.0,2.0,45444.88000000008,2.0646907528422282,-20412.049999999992,49.25908594603026
30,200,1.5,1.5,1.0,110866.53000000006,4.679726009385944,-23996.349999999948,47.500730780473546
30,200,1.5,1.5,2.0,47940.24999999981,2.3726354487367094,-28418.399999999863,47.14254906189346
30,200,1.5,2.0,1.0,158197.9100000001,6.504216851652146,-35381.83999999997,44.16909620991253
30,200,1.5,2.0,2.0,46482.84000000005,2.7265032608244035,-32276.49999999963,43.47004856988667
