lookback,sl_mult,tp_mult,atr_thresh,pnl,sharpe,max_drawdown,win_rate
100,0.5,1.0,1.0,-1599.9970975,-167.5190638309236,-1600.338867999999,3.431372549019608
100,0.5,1.0,2.0,-579.8980405,-160.03547663842483,-580.3305454999972,5.9405940594059405
100,0.5,1.0,3.0,-187.74739399999993,-123.72166012228469,-188.18243599999914,8.653846153846153
100,0.5,1.0,5.0,-42.205479500000045,-76.14652052353934,-40.17748650000067,9.090909090909092
100,0.5,1.5,1.0,-1569.6596385000003,-167.15181142389034,-1572.1313025000018,4.0455120101137805
100,0.5,1.5,2.0,-589.3195925000002,-159.45366182177136,-591.8819909999984,4.697986577181208
100,0.5,1.5,3.0,-192.02676250000005,-121.58016516467177,-195.18172750000303,8.0
100,0.5,1.5,5.0,-46.345686500000035,-82.41946559325577,-41.55755549999958,9.090909090909092
100,0.5,2.0,1.0,-1581.1972990000002,-165.3695863368875,-1579.0951795,4.10783055198973
100,0.5,2.0,2.0,-613.096587,-159.10045505908434,-611.0852019999984,3.741496598639456
100,0.5,2.0,3.0,-214.80339800000002,-123.59141856961074,-213.38457950000156,6.185567010309279
100,0.5,2.0,5.0,-71.59694900000007,-118.18674203330964,-66.8088179999977,4.545454545454546
100,1.0,0.5,1.0,-1398.9397995,-132.68630739971925,-1397.0476904999996,5.735294117647059
100,1.0,0.5,2.0,-540.5394755000001,-106.8275504730813,-538.5280905,10.931174089068826
100,1.0,0.5,3.0,-205.90174050000024,-95.08152021191141,-203.89289250000002,15.909090909090908
100,1.0,0.5,5.0,-31.749959500000095,-57.432407358711444,-36.60222100000101,30.0
100,1.0,1.0,1.0,-1199.9070189999998,-112.976782996285,-1201.532857000002,13.2890365448505
100,1.0,1.0,2.0,-443.07807249999996,-83.54861623660683,-444.7946449999981,23.52941176470588
100,1.0,1.0,3.0,-144.6520669999999,-59.05107007183344,-148.42664949999744,28.947368421052634
100,1.0,1.0,5.0,-35.88821949999995,-53.58536618992118,-39.94877600000109,26.31578947368421
100,1.0,1.5,1.0,-1081.0947329999995,-105.10190143457207,-1083.5663969999987,17.594254937163374
100,1.0,1.5,2.0,-412.1857820000001,-75.24585055949599,-414.9567790000001,25.120772946859905
100,1.0,1.5,3.0,-131.329597,-49.710491013624356,-134.57476999999926,29.577464788732392
100,1.0,1.5,5.0,-19.19601849999998,-35.312567041280154,-30.619928000000073,41.17647058823529
100,1.0,2.0,1.0,-1079.2306649999991,-100.2752289198979,-1077.1285454999997,16.54275092936803
100,1.0,2.0,2.0,-414.5782065000002,-70.21295877585696,-415.53621300000304,20.408163265306122
100,1.0,2.0,3.0,-159.457814,-59.89004128042421,-158.12920350000059,21.73913043478261
