entry_time,exit_time,symbol,direction,quantity,entry_price,exit_price,pnl,exit_reason,commission,slippage
2019-01-07 12:00:00,2019-01-08 14:00:00,SPY,BUY,1,255.46,256.24,-1.2455849999999988,TIME,2.0,0.025585000000000004
2019-01-08 15:00:00,2019-01-10 10:00:00,SPY,BUY,1,256.69,257.55,-1.1657119999999863,TIME,2.0,0.025712
2019-01-10 11:00:00,2019-01-11 13:00:00,SPY,BUY,1,258.14,258.33,-1.8358235000000023,TIME,2.0,0.025823500000000003
2019-01-11 15:00:00,2019-01-14 09:30:00,SPY,BUY,1,258.91,257.17,-3.765804000000009,StopLoss,2.0,0.025804
2019-01-14 15:00:00,2019-01-15 10:00:00,SPY,SELL,1,257.46,259.53,-4.095849499999993,StopLoss,2.0,0.0258495
2019-01-15 11:00:00,2019-01-16 13:00:00,SPY,BUY,1,260.16,261.41,-0.7760785,TIME,2.0,0.0260785
2019-01-16 15:00:00,2019-01-17 14:00:00,SPY,SELL,1,260.95,262.61,-3.686178000000025,StopLoss,2.0,0.026177999999999996
2019-01-18 09:30:00,2019-01-18 11:00:00,SPY,BUY,1,264.52,266.48,-0.06654999999996362,TakeProfit,2.0,0.02655
2019-01-18 12:00:00,2019-01-22 09:30:00,SPY,BUY,1,266.72,264.4,-4.34655600000005,StopLoss,2.0,0.026556
2019-01-22 10:00:00,2019-01-22 13:00:00,SPY,SELL,1,263.79,262.51,-0.7463149999999704,TakeProfit,2.0,0.026314999999999998
2019-01-22 14:00:00,2019-01-23 09:30:00,SPY,SELL,1,261.7,264.46,-4.786307999999991,StopLoss,2.0,0.026307999999999998
2019-01-23 11:00:00,2019-01-24 10:00:00,SPY,SELL,1,261.28,263.42,-4.166235000000043,StopLoss,2.0,0.026235
2019-01-24 15:00:00,2019-01-25 09:30:00,SPY,BUY,1,263.62,265.7,0.05353399999998409,TakeProfit,2.0,0.026465999999999996
2019-01-25 10:00:00,2019-01-28 09:30:00,SPY,BUY,1,266.38,262.71,-5.696454500000016,StopLoss,2.0,0.026454499999999995
2019-01-28 11:00:00,2019-01-29 09:30:00,SPY,SELL,1,262.01,264.2,-4.216310499999998,StopLoss,2.0,0.0263105
2019-01-29 10:00:00,2019-01-30 09:30:00,SPY,SELL,1,262.73,264.56,-3.856364499999984,StopLoss,2.0,0.0263645
2019-01-30 11:00:00,2019-01-30 14:00:00,SPY,BUY,1,265.82,268.48,0.633285000000025,TakeProfit,2.0,0.026715
2019-01-31 10:00:00,2019-02-01 10:00:00,SPY,BUY,1,269.0,270.14,-0.8869570000000137,TakeProfit,2.0,0.026957
2019-02-01 14:00:00,2019-02-04 15:00:00,SPY,SELL,1,269.46,272.0,-4.56707300000002,StopLoss,2.0,0.027073000000000003
2019-02-07 15:00:00,2019-02-08 11:00:00,SPY,BUY,1,270.19,268.61,-3.6069399999999843,StopLoss,2.0,0.02694
2019-02-08 13:00:00,2019-02-11 09:30:00,SPY,BUY,1,269.28,270.78,-0.527003,TakeProfit,2.0,0.027002999999999996
2019-02-15 09:30:00,2019-02-19 11:00:00,SPY,BUY,1,276.58,278.22,-0.3877399999999568,TIME,2.0,0.027739999999999997
2019-03-04 11:00:00,2019-03-04 11:00:00,SPY,SELL,1,277.95,277.95,-2.027795,StopLoss,2.0,0.027795
2019-03-04 12:00:00,2019-03-05 14:00:00,SPY,SELL,1,277.4,279.64,-4.267852000000009,TIME,2.0,0.027852
2019-03-06 09:30:00,2019-03-07 09:30:00,SPY,SELL,1,278.57,275.29,1.2523069999999727,TakeProfit,2.0,0.027693000000000002
2019-03-07 12:00:00,2019-03-07 15:00:00,SPY,BUY,1,276.17,275.08,-3.117562500000032,StopLoss,2.0,0.0275625
2019-03-08 09:30:00,2019-03-11 09:30:00,SPY,SELL,1,272.97,276.29,-5.347462999999993,StopLoss,2.0,0.027462999999999998
2019-03-11 10:00:00,2019-03-12 09:30:00,SPY,BUY,1,277.25,279.32,0.04217149999999319,TakeProfit,2.0,0.027828499999999996
2019-03-20 14:00:00,2019-03-21 09:30:00,SPY,BUY,1,283.14,282.13,-3.038263499999991,StopLoss,2.0,0.0282635
2019-03-21 11:00:00,2019-03-22 10:00:00,SPY,BUY,1,284.2,281.46,-4.768283000000009,StopLoss,2.0,0.028283
2019-03-22 11:00:00,2019-03-25 13:00:00,SPY,SELL,1,279.64,278.17,-0.5578905000000296,TIME,2.0,0.0278905
2019-03-26 09:30:00,2019-03-27 11:00:00,SPY,BUY,1,281.97,278.35,-5.648016000000005,TIME,2.0,0.028016000000000003
2019-03-28 09:30:00,2019-03-29 11:00:00,SPY,BUY,1,280.71,281.88,-0.8581294999999841,TIME,2.0,0.028129499999999995
2019-05-02 11:00:00,2019-05-03 09:30:00,SPY,SELL,1,290.01,293.05,-5.0691530000000204,StopLoss,2.0,0.029153
2019-05-03 10:00:00,2019-05-06 09:30:00,SPY,BUY,1,293.37,290.95,-4.449216000000016,StopLoss,2.0,0.029215999999999995
2019-05-06 14:00:00,2019-05-07 09:30:00,SPY,BUY,1,293.03,289.81,-5.249141999999971,StopLoss,2.0,0.029141999999999994
2019-05-07 10:00:00,2019-05-07 14:00:00,SPY,SELL,1,288.47,287.02,-0.5787744999999546,TakeProfit,2.0,0.0287745
2019-05-08 10:00:00,2019-05-09 09:30:00,SPY,BUY,1,288.71,284.57,-6.168663999999986,StopLoss,2.0,0.028664
2019-05-09 10:00:00,2019-05-09 12:00:00,SPY,SELL,1,283.67,286.29,-4.6484980000000045,StopLoss,2.0,0.028498000000000002
2019-05-10 10:00:00,2019-05-10 13:00:00,SPY,SELL,1,282.93,286.6,-5.698476500000016,StopLoss,2.0,0.0284765
2019-05-10 14:00:00,2019-05-13 09:30:00,SPY,BUY,1,287.09,282.16,-6.95846249999995,StopLoss,2.0,0.0284625
2019-05-13 12:00:00,2019-05-14 11:00:00,SPY,SELL,1,280.32,284.54,-6.248243000000027,StopLoss,2.0,0.028243
2019-05-14 13:00:00,2019-05-15 15:00:00,SPY,BUY,1,284.86,285.06,-1.8284960000000114,TIME,2.0,0.028496000000000004
2019-05-16 09:30:00,2019-05-17 11:00:00,SPY,BUY,1,287.63,287.53,-2.1287580000000226,TIME,2.0,0.028758
2019-05-17 15:00:00,2019-05-20 09:30:00,SPY,SELL,1,285.9,284.5,-0.6285200000000227,TakeProfit,2.0,0.02852
2019-05-20 14:00:00,2019-05-21 10:00:00,SPY,SELL,1,283.68,286.71,-5.0585194999999725,StopLoss,2.0,0.0285195
2019-05-23 09:30:00,2019-05-24 09:30:00,SPY,SELL,1,282.02,283.61,-3.6182815000000317,StopLoss,2.0,0.0282815
